metric_item_label,geo_label_citystate,geo_label_state,year,year1,value,race,gender,race_gender,race_gender1,metric_cat_label,metric_subcat_label,metric_item_label_subtitle,metric_cat_item_yaxis_label,geo_label_proxy_or_real,geo_label_proxy_footnote,geo_fips_desc,date_label_proxy_or_real,value_ci_flag_yesno,value_95_ci_low,value_95_ci_high
All Cancer Deaths,"Cleveland, OH",OH,2014,2014,209.5954344,Black,Female,Black Female,Black Female,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,195.0066999,225.1945909
All Cancer Deaths,"Oakland, CA",CA,2016,2016,162.8482546,Hispanic,Male,Hispanic Male,Hispanic Male,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,124.4940124,211.5536948
All Cancer Deaths,"San Francisco, CA",CA,2021,2021,96.70606694,All,Female,,All Female,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,92.04740338,101.6131872
All Cancer Deaths,"Long Beach, CA",CA,2018,2018,104.3932949,Hispanic,Female,Hispanic Female,Hispanic Female,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,88.47478591,122.7869687
All Cancer Deaths,"Cleveland, OH",OH,2013,2013,297.171301,Black,Male,Black Male,Black Male,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,275.6480624,320.0860622
All Cancer Deaths,"Dallas, TX",TX,2010,2010,151.115278,White,Female,White Female,White Female,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,140.3731544,162.8863088
All Cancer Deaths,"Oakland, CA",CA,2021,2021,138.7382758,Asian/PI,Male,Asian/PI Male,Asian/PI Male,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,118.9535298,161.3502206
All Cancer Deaths,"Las Vegas, NV",NV,2014,2014,185.2276439,All,Male,,All Male,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",proxy,County level data were used,place,real,yes,180.1133949,190.4680722
All Cancer Deaths,"San Antonio, TX",TX,2022,2022,202.2050596,Black,Female,Black Female,Black Female,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,172.8692671,235.4023635
All Cancer Deaths,"Columbus, OH",OH,2011,2011,91.77807613,Hispanic,Both,,Hispanic Both,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,43.47085155,187.5663946
All Cancer Deaths,"Seattle, WA",WA,2013,2013,119.4289017,Asian/PI,Female,Asian/PI Female,Asian/PI Female,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,103.0271929,137.9117105
All Cancer Deaths,"New York City, NY",NY,2018,2018,149.0819198,White,Male,White Male,White Male,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,145.7096613,152.5371632
All Cancer Deaths,"Tucson, AZ",AZ,2015,2015,107.4704757,Asian/PI,Both,,Asian/PI Both,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,78.00793232,145.1128323
All Cancer Deaths,"Phoenix, AZ",AZ,20021,2021,200.6375893,Black,Male,Black Male,Black Male,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,167.7493834,240.2982033
